0:0:0.50,1045.41,-244.0,-343.0,-601.56,-9498.44,3329.69
0:0:0.82,-810.547,561.0,-8.0,495.31,-2103.12,-16573.44
0:0:1.17,1100.098,145.0,-228.0,2153.12,129.69,3087.5
0:0:1.53,-799.561,303.0,-22.0,-3790.62,-4267.19,-17793.75
0:0:1.80,1535.889,2275.0,392.0,8281.25,-13081.25,18207.81
0:0:1.86,1080.078,516.0,-322.0,-2617.19,7329.69,2845.31
0:0:2.27,-1029.297,798.0,-434.0,382.81,18615.62,-1587.5
0:0:2.55,1410.156,767.0,327.0,9210.94,-12603.12,-3404.69
0:0:2.61,1359.863,317.0,-130.0,-1645.31,-812.5,5362.5
0:0:2.98,-1273.926,121.0,-529.0,7353.12,8560.94,-3232.81
0:0:3.32,1462.646,-161.0,83.0,742.19,-13759.38,11281.25
0:0:3.73,-339.844,1190.0,592.0,-4242.19,10260.94,-17920.31
0:0:4.3,497.07,-625.0,-393.0,-985.94,-22339.06,7590.62
0:0:4.40,-1394.531,264.0,210.0,-3398.44,5360.94,-12987.5
0:0:4.72,1356.201,241.0,-153.0,-1340.62,-5143.75,8131.25
0:0:5.12,-947.998,244.0,126.0,2828.12,9700.0,-8618.75
0:0:5.48,1596.191,-677.0,-159.0,-131.25,-28878.12,13417.19
0:0:6.15,1482.91,-64.0,250.0,-10448.44,-9826.56,14856.25
0:0:6.55,-1760.01,316.0,-238.0,4864.06,19800.0,-6542.19
0:0:6.88,1442.383,-474.0,-695.0,1076.56,-21885.94,12504.69
0:0:7.20,-1567.871,825.0,-40.0,1150.0,979.69,-14979.69
0:0:7.52,1366.943,-242.0,171.0,-1254.69,-1514.06,4426.56
0:0:7.92,-1425.293,448.0,-140.0,11304.69,13762.5,-7268.75
0:0:8.28,1041.504,-874.0,-215.0,-575.0,-37471.88,5457.81
0:0:8.62,-1235.107,634.0,-111.0,7457.81,2370.31,-7485.94
0:0:8.98,1032.959,-211.0,-672.0,4784.38,-14992.19,6245.31
0:0:9.34,-1237.305,709.0,-272.0,8678.12,12835.94,-3870.31
0:0:9.70,1074.463,-469.0,-596.0,2273.44,-19542.19,9732.81
0:0:10.2,-938.477,656.0,178.0,20.31,-4446.88,-15931.25
0:0:10.37,1197.266,-148.0,34.0,-396.88,-6789.06,2748.44
0:0:10.81,-854.98,503.0,28.0,8382.81,3907.81,-15475.0
0:0:11.9,1436.768,-409.0,-73.0,-6068.75,-10612.5,13300.0
0:0:11.47,-1792.725,207.0,175.0,8296.88,11356.25,-21404.69
0:0:11.83,1200.44,-640.0,-610.0,-1120.31,-8792.19,12439.06
0:0:12.19,-1322.266,610.0,-57.0,8329.69,11484.38,-10262.5
0:0:12.53,1078.613,-472.0,-472.0,-170.31,-16357.81,8684.38
0:0:12.90,-1524.414,578.0,-157.0,3104.69,14171.88,-5384.38
0:0:13.23,1116.943,-249.0,-363.0,-2260.94,-17970.31,9192.19
0:0:13.59,-1290.039,729.0,-165.0,6375.0,476.56,-12634.38
0:0:13.97,924.072,-549.0,-533.0,2362.5,-10701.56,11425.0
0:0:14.29,-1104.98,927.0,-309.0,6392.19,356.25,-11312.5
0:0:14.67,856.201,-649.0,-466.0,3264.06,-18865.62,9826.56
0:0:15.2,-1020.752,928.0,-224.0,6053.12,12087.5,-2701.56
0:0:15.33,1321.289,-524.0,-27.0,-3490.62,-14453.12,11542.19
0:0:15.71,-1300.049,1147.0,-220.0,7478.12,40.62,-16920.31
