second,xyz[4],xyz[1]
2.235,133.5938,0.4921875
2.241,133.2344,0.4936523
2.257,132.5469,0.4970703
2.263,133.1875,0.4978027
2.27,133.9375,0.4975586
2.276,134.2188,0.4970703
2.283,134.2188,0.4968262
2.289,134.125,0.4970703
2.295,133.9531,0.4973145
2.35,134.1406,0.482666
2.356,133.7188,0.4807129
2.363,133.9062,0.4797363
2.369,134.3594,0.479248
2.376,135.125,0.479248
2.382,135.6719,0.4794922
2.389,135.9219,0.4802246
2.395,135.9531,0.4814453
2.402,135.7031,0.4821777
2.408,135.2656,0.4829102
2.414,134.9219,0.4833984
2.421,134.5625,0.4841309
2.427,133.8594,0.4853516
2.434,133.4844,0.4873047
2.44,133.5469,0.4887695
2.447,133.4375,0.4904785
2.453,133.3594,0.4921875
2.459,133.4219,0.4943848
2.466,133.5625,0.4958496
2.472,133.875,0.4956055
2.479,134.125,0.4958496
2.485,133.7969,0.4970703
2.492,132.8281,0.4978027
2.498,131.9375,0.4973145
2.504,131.5469,0.496582
2.511,131.4844,0.496582
2.517,131.75,0.496582
2.524,132.2031,0.4958496
2.53,132.625,0.4941406
2.537,132.8125,0.4931641
2.543,132.8906,0.4924316
2.549,133.2031,0.4912109
2.556,133.7812,0.4890137
2.562,134.2344,0.4870605
2.569,134.8594,0.486084
2.575,135.2188,0.4848633
2.582,135.0469,0.4838867
2.588,134.4219,0.4838867
2.594,133.375,0.4841309
2.601,132.5625,0.4846191
2.607,132.7187,0.4841309
2.617,134.2188,0.4841309
2.624,134.2344,0.4836426
2.63,133.3437,0.4829102
2.636,132.4062,0.4824219
2.643,132.1563,0.482666
2.649,132.4062,0.4846191
2.656,132.7187,0.4885254
2.662,132.75,0.4919434
2.669,132.7812,0.4934082
2.675,133.125,0.4934082
2.682,133.6719,0.4936523
2.688,133.75,0.4941406
2.694,133.3437,0.4941406
2.701,133.0781,0.4946289
2.707,132.8281,0.4953613
2.714,132.7812,0.4956055
2.72,133.2031,0.4956055
2.726,134.0625,0.4956055
2.733,135.0312,0.4956055
2.739,135.4375,0.4953613
2.746,135.25,0.4943848
2.752,135.1094,0.4926758
2.759,135.125,0.4902344
2.765,135.1094,0.4882813
2.771,135.0625,0.4858398
2.778,135.0,0.4846191
2.784,134.625,0.4846191
2.791,133.8437,0.4851074
2.797,133.1875,0.4853516
2.804,132.7344,0.4851074
2.81,132.2187,0.4836426
2.816,131.875,0.4819336
2.823,131.9531,0.4797363
2.83,131.7031,0.4777832
2.837,131.6094,0.4775391
2.844,132.0781,0.4782715
2.85,132.5781,0.4802246
2.856,132.5781,0.4824219
2.863,132.1094,0.4848633
2.869,131.3281,0.4865723
2.876,130.5469,0.4887695
2.882,130.2656,0.4904785
2.901,131.6875,0.4912109
2.908,132.2344,0.4909668
2.914,132.4844,0.4904785
2.921,132.6406,0.4907227
2.927,132.5312,0.4914551
2.934,132.25,0.4921875
2.94,132.0781,0.4926758
2.947,132.4531,0.4929199
2.953,133.4375,0.4926758
2.96,134.8437,0.4914551
2.966,135.4844,0.489502
2.972,134.3594,0.487793
2.979,132.0469,0.4863281
2.985,130.8906,0.486084
2.992,130.5156,0.4865723
2.998,131.0156,0.4865723
3.005,132.2187,0.4858398
3.011,133.5156,0.4841309
3.017,134.6875,0.482666
3.024,135.1094,0.4794922
3.03,135.8437,0.4689941
3.037,137.375,0.4609375
3.043,138.7813,0.4665527
3.05,138.5937,0.4816895
3.056,137.625,0.4934082
3.062,136.7188,0.4956055
3.069,135.7344,0.4921875
3.075,134.8125,0.4880371
3.082,134.1719,0.4870605
3.088,134.0781,0.487793
3.095,134.2344,0.489502
3.101,134.2969,0.4914551
3.107,133.5938,0.4931641
3.114,132.0313,0.4941406
3.12,130.9844,0.4956055
3.127,131.0625,0.4980469
3.133,131.4531,0.5002441
3.14,131.5469,0.5007324
3.146,131.1875,0.4995117
3.152,130.875,0.4978027
3.159,130.7031,0.496582
3.168,130.4219,0.494873
3.175,130.9844,0.4934082
3.182,131.5,0.4921875
3.188,131.4062,0.4914551
3.195,130.5156,0.4909668
3.201,129.5937,0.4904785
3.207,129.7344,0.4899902
3.214,130.7812,0.4885254
3.22,132.2344,0.4863281
3.227,132.9687,0.4836426
3.233,132.7344,0.4812012
3.24,131.8437,0.4799805
3.246,131.3594,0.4797363
3.252,131.4062,0.4807129
3.259,131.2812,0.4831543
3.265,131.25,0.4851074
3.272,132.0,0.4865723
3.278,132.9219,0.487793
3.285,133.1406,0.4885254
3.291,132.875,0.4885254
3.297,132.6875,0.4885254
3.304,132.7656,0.4890137
3.31,132.8281,0.4904785
3.317,132.1563,0.4921875
3.323,131.2187,0.4946289
3.33,131.25,0.4960938
3.336,132.1719,0.4968262
3.342,133.375,0.4973145
3.349,133.5156,0.4973145
3.355,132.4687,0.4970703
3.362,130.5938,0.4963379
3.368,129.2344,0.4953613
3.375,129.75,0.4943848
3.381,131.4531,0.4936523
3.387,133.125,0.4936523
3.394,133.0625,0.4938965
3.4,132.2969,0.4938965
3.407,131.8125,0.4934082
3.413,132.3281,0.4926758
3.42,132.8594,0.4904785
3.426,132.9219,0.4875488
3.433,132.7031,0.4851074
3.487,130.3594,0.4863281
3.493,131.6875,0.4863281
3.5,132.5156,0.4875488
3.506,132.9375,0.4880371
3.513,132.75,0.4882813
3.519,132.4687,0.4902344
3.535,132.6406,0.4934082
3.542,134.0469,0.4960938
3.548,134.2812,0.4968262
3.554,133.4531,0.4968262
3.561,132.0938,0.4956055
3.567,131.3125,0.4941406
3.574,130.8594,0.4936523
3.58,130.7031,0.4938965
3.587,131.0469,0.4936523
3.593,131.6875,0.4934082
3.6,132.5156,0.4936523
3.606,133.0781,0.4936523
3.612,132.4844,0.4924316
3.619,131.1875,0.4902344
3.625,130.1719,0.4890137
3.632,130.6562,0.4880371
3.638,131.375,0.4870605
3.645,131.875,0.486084
3.651,132.625,0.4855957
3.657,132.8906,0.4853516
3.664,132.5,0.4855957
3.67,131.5313,0.4863281
3.677,130.8906,0.4873047
3.683,130.9219,0.4880371
3.69,130.875,0.4880371
3.696,130.8906,0.4875488
3.702,131.625,0.4875488
3.709,132.8437,0.4882813
3.715,133.0625,0.489502
3.722,132.2187,0.4902344
3.728,131.7969,0.4912109
3.735,131.9219,0.4926758
3.741,131.9844,0.4941406
3.747,131.6875,0.494873
3.754,131.3125,0.4943848
3.76,130.8125,0.4938965
3.77,129.5781,0.4938965
3.777,129.8906,0.4936523
3.783,130.8437,0.4931641
3.79,131.5781,0.4926758
3.796,131.8281,0.4926758
3.802,132.2812,0.4926758
3.809,132.875,0.4926758
3.815,133.0,0.4924316
3.822,132.4531,0.4921875
3.828,131.8125,0.4921875
3.835,131.4687,0.4914551
3.841,131.6562,0.4899902
3.847,132.1719,0.4885254
3.854,131.5156,0.4868164
3.86,129.9531,0.486084
3.867,129.3125,0.4858398
3.873,129.6875,0.4865723
3.88,130.7656,0.4875488
3.886,131.1875,0.4880371
3.892,130.7187,0.4887695
3.899,129.9062,0.4892578
3.905,129.8281,0.4887695
3.912,130.2812,0.487793
3.918,130.75,0.487793
3.925,130.7187,0.4890137
3.931,130.4688,0.4904785
3.937,130.6719,0.4914551
3.944,131.3906,0.4924316
3.95,131.6875,0.4936523
3.957,131.6094,0.4941406
3.963,131.4531,0.4931641
3.97,131.0625,0.4926758
3.976,130.9531,0.4934082
3.982,131.2656,0.4946289
3.989,131.9844,0.4953613
3.995,132.9375,0.4953613
4.002,133.3906,0.4946289
4.008,133.2812,0.4938965
4.015,132.5469,0.4931641
4.021,131.9219,0.4926758
4.027,132.125,0.4929199
4.034,132.375,0.4938965
4.043,131.9844,0.494873
4.05,130.9062,0.494873
4.057,130.2031,0.4943848
4.063,130.3437,0.4941406
4.07,131.1719,0.4938965
4.076,131.8125,0.4934082
4.083,132.4375,0.4926758
4.089,133.0312,0.4916992
4.096,133.25,0.4916992
4.102,133.0781,0.4914551
4.109,132.9219,0.4912109
4.115,132.875,0.4899902
4.131,132.3906,0.4890137
4.137,132.6094,0.4887695
4.144,132.6875,0.4880371
4.15,132.4687,0.487793
4.157,132.5469,0.4880371
4.163,132.8437,0.4882813
4.17,132.875,0.487793
4.176,132.7031,0.486084
4.182,132.5781,0.4836426
4.189,132.4219,0.482666
4.195,132.2969,0.4824219
4.202,132.375,0.4819336
4.208,132.7031,0.480957
4.215,132.7031,0.4816895
4.221,132.0,0.4841309
4.227,131.3437,0.4870605
4.234,131.9062,0.4885254
4.24,133.2812,0.4892578
4.247,134.5312,0.4899902
4.253,134.5312,0.4921875
4.259,133.5625,0.4946289
4.266,132.3125,0.4970703
4.272,132.0,0.4985352
4.279,132.125,0.4987793
4.285,132.25,0.4975586
4.292,132.0625,0.4970703
4.298,131.4062,0.4975586
4.304,130.7031,0.4990234
4.311,130.2656,0.4995117
4.317,130.0156,0.4985352
4.327,131.2812,0.4960938
4.334,132.7031,0.494873
4.34,132.9531,0.4938965
4.347,132.1094,0.4924316
4.353,130.8906,0.4904785
4.359,130.5313,0.4892578
4.366,131.0625,0.4887695
4.372,131.7656,0.4882813
4.379,132.2344,0.4868164
4.385,132.7812,0.4853516
4.392,133.4844,0.484375
4.398,133.0312,0.4831543
4.404,131.7656,0.4812012
4.411,131.2656,0.4804688
4.417,131.875,0.4812012
4.424,132.8594,0.4829102
4.43,133.0469,0.484375
4.437,132.1875,0.4851074
4.443,130.6875,0.4865723
4.449,129.9062,0.4902344
4.456,130.1719,0.4934082
4.462,130.6562,0.4946289
4.469,131.6094,0.4946289
4.475,132.625,0.4943848
4.482,132.8594,0.4938965
4.488,132.5469,0.4924316
4.494,132.5469,0.4916992
4.501,133.0625,0.4929199
4.507,132.9687,0.4951172
4.514,132.2031,0.4963379
4.52,131.25,0.4960938
4.527,130.4375,0.494873
4.533,129.8906,0.4941406
4.539,129.8906,0.4938965
4.546,131.0,0.4931641
4.552,132.5312,0.4916992
4.559,133.4062,0.4902344
4.565,133.5469,0.4897461
4.572,132.625,0.4897461
4.578,131.5,0.4897461
4.584,130.2344,0.4897461
4.64,132.6719,0.4853516
4.647,133.0938,0.4882813
4.653,132.8281,0.4909668
4.66,132.3906,0.4924316
4.666,132.2344,0.4931641
4.672,131.25,0.4931641
4.679,130.1719,0.4929199
4.685,129.5469,0.4931641
4.692,129.4063,0.4936523
4.698,129.5156,0.4943848
4.706,129.9375,0.4951172
4.712,130.7031,0.4960938
4.719,131.625,0.496582
4.725,132.6563,0.4970703
4.732,133.1719,0.4968262
4.738,133.1406,0.4963379
4.745,132.6875,0.4951172
4.751,132.3125,0.4931641
4.757,132.2656,0.4907227
4.773,132.8125,0.4899902
4.78,132.4062,0.4916992
4.786,131.9844,0.4912109
4.793,132.6094,0.4892578
4.799,133.3437,0.4887695
4.805,133.7812,0.489502
4.812,133.5156,0.4885254
4.818,132.9844,0.4851074
4.825,132.875,0.4836426
4.831,132.8437,0.484375
4.838,132.5156,0.4855957
4.844,132.0625,0.4851074
4.85,131.9844,0.4848633
4.857,132.0156,0.4863281
4.863,132.125,0.4882813
4.87,132.4219,0.4899902
4.876,132.8594,0.4912109
4.883,133.0938,0.4907227
4.889,133.4219,0.4899902
4.896,134.0625,0.4904785
4.902,134.4844,0.4924316
4.908,133.9687,0.4936523
4.918,132.8594,0.4936523
4.925,132.4219,0.4941406
4.931,132.3125,0.4956055
4.938,132.6563,0.496582
4.944,132.9687,0.4960938
4.95,133.0,0.494873
4.957,133.0469,0.4941406
4.963,133.0625,0.4938965
4.97,132.7031,0.494873
4.976,132.3437,0.4958496
4.983,132.3125,0.4956055
4.989,132.4531,0.4938965
4.995,131.625,0.4916992
5.002,130.4375,0.4899902
5.008,129.3437,0.4892578
5.015,129.4688,0.4875488
5.021,130.625,0.4858398
5.028,131.5469,0.4853516
5.034,132.0,0.4855957
5.041,131.9531,0.4863281
5.047,132.25,0.4863281
5.053,132.8281,0.4865723
5.06,133.2812,0.4873047
5.066,133.0625,0.4885254
5.073,132.4687,0.4897461
5.079,132.0938,0.4899902
5.085,132.5,0.4897461
5.092,133.0938,0.4890137
5.098,132.9219,0.4890137
5.105,131.8906,0.4899902
5.111,131.3437,0.4912109
5.118,131.6562,0.4921875
5.124,132.5156,0.4931641
5.13,132.2031,0.494873
5.137,130.6719,0.4960938
5.143,129.4219,0.4963379
5.15,129.1094,0.4956055
5.156,130.3594,0.494873
5.163,132.4687,0.4941406
5.169,133.6406,0.4934082
5.175,133.8906,0.4929199
5.182,133.7344,0.4926758
5.191,133.6875,0.4929199
5.198,133.7656,0.4926758
5.205,133.7031,0.4924316
5.211,133.1094,0.4921875
5.218,132.8594,0.4916992
5.224,132.9844,0.4897461
5.23,133.125,0.4882813
5.237,132.9062,0.4873047
5.243,132.5312,0.486084
5.25,132.4219,0.4851074
5.256,132.3906,0.4853516
5.263,132.7031,0.4865723
5.269,133.0938,0.4882813
5.275,133.5312,0.4897461
5.282,133.2656,0.4904785
5.288,132.5156,0.4904785
5.295,132.0781,0.4902344
5.302,131.9062,0.4897461
5.308,132.2187,0.4902344
5.315,132.3906,0.4912109
5.321,132.5938,0.4921875
5.328,132.6094,0.4929199
5.334,132.375,0.4931641
5.341,132.1719,0.4936523
5.347,132.4219,0.4943848
5.363,132.8437,0.4946289
5.369,133.4844,0.4934082
5.376,133.0,0.4931641
5.382,131.8281,0.4929199
5.389,131.0,0.4929199
5.395,131.5781,0.4929199
5.402,132.3281,0.4926758
5.408,132.9062,0.4921875
5.414,133.6719,0.4921875
5.421,133.875,0.4924316
5.427,133.1563,0.4919434
5.434,132.0156,0.4907227
5.44,130.7344,0.489502
5.447,130.0,0.4885254
5.453,129.9688,0.4885254
5.459,130.7812,0.487793
5.466,132.25,0.487793
5.475,133.8594,0.489502
5.482,134.25,0.489502
5.489,134.2344,0.4887695
5.495,133.9062,0.4882813
5.502,133.0625,0.4880371
5.508,131.5781,0.4880371
5.514,130.75,0.4880371
5.521,131.0313,0.4887695
5.527,131.9531,0.4907227
5.534,132.75,0.4921875
5.54,133.5469,0.4926758
5.547,133.5,0.4929199
5.553,133.1719,0.4931641
5.56,133.2187,0.4929199
5.566,133.6719,0.4934082
5.572,133.8906,0.4941406
5.579,133.4062,0.4946289
5.585,132.8125,0.4946289
5.592,132.125,0.494873
5.598,131.6719,0.4956055
5.605,132.2344,0.4963379
5.611,133.3437,0.4970703
5.617,134.4375,0.4970703
5.624,135.0,0.4963379
5.63,134.8594,0.4946289
5.637,134.1094,0.4919434
5.643,133.1875,0.4902344
5.65,133.2187,0.4887695
5.656,133.7656,0.4875488
5.662,134.2188,0.4870605
5.669,134.1406,0.4875488
5.675,134.0469,0.4882813
5.682,133.8906,0.4887695
5.688,133.6719,0.4882813
5.695,133.4219,0.4875488
5.701,132.8594,0.487793
5.707,132.1094,0.4880371
5.714,131.0625,0.4880371
5.72,130.2344,0.4882813
5.727,130.4844,0.4892578
5.733,131.9375,0.4907227
5.74,133.5469,0.4914551
5.793,132.0156,0.4916992
5.8,132.6563,0.4924316
5.806,128.0781,0.4931641
5.813,131.3125,0.4936523
5.819,131.5,0.4934082
5.826,132.6563,0.4931641
5.832,133.4219,0.4929199
5.838,133.7812,0.4924316
5.845,133.4844,0.4919434
5.851,132.5938,0.4912109
5.858,132.0313,0.4909668
5.864,132.3906,0.4909668
5.871,133.1406,0.4909668
5.877,133.1094,0.4904785
5.883,132.0156,0.4902344
5.89,130.6562,0.4897461
5.896,130.2187,0.4892578
5.903,130.9687,0.4890137
5.909,132.625,0.4890137
5.916,134.0312,0.4892578
5.922,134.5156,0.4892578
5.929,134.2656,0.4892578
5.935,133.3437,0.489502
5.942,132.7656,0.4902344
5.948,132.9219,0.4904785
5.955,133.1406,0.4904785
5.961,132.8906,0.4897461
5.967,132.5938,0.4892578
5.974,133.0312,0.4890137
5.98,133.4219,0.4897461
5.987,133.0156,0.4907227
6.003,131.3281,0.4924316
6.009,131.3125,0.4931641
6.016,131.9375,0.4931641
6.022,132.7187,0.4931641
6.028,133.2187,0.4929199
6.035,133.625,0.4921875
6.041,134.0,0.4914551
6.048,134.3594,0.4907227
6.054,134.4687,0.4907227
6.061,134.1875,0.4902344
6.07,133.4375,0.4897461
6.077,132.7031,0.4899902
6.083,128.0625,0.4902344
6.09,131.6719,0.4902344
6.096,131.5313,0.4902344
6.103,131.7187,0.4904785
6.109,131.5469,0.4907227
6.116,131.1719,0.4907227
6.122,131.7656,0.4907227
6.128,132.625,0.4904785
6.135,132.7187,0.4904785
6.141,132.5938,0.4909668
6.148,132.8906,0.4914551
6.154,133.875,0.4912109
6.161,134.6563,0.4914551
6.167,134.6094,0.4919434
6.173,133.8125,0.4926758
6.18,133.1406,0.4934082
6.186,132.5469,0.4931641
6.193,132.2187,0.4926758
6.199,132.0313,0.4919434
6.206,131.875,0.4916992
6.212,131.8906,0.4919434
6.218,132.2656,0.4924316
6.225,132.7969,0.4931641
6.231,133.0312,0.4934082
6.238,132.8281,0.4934082
6.244,132.3437,0.4926758
6.251,131.9844,0.4912109
6.257,131.9844,0.4904785
6.264,132.25,0.4902344
6.27,132.5938,0.4899902
6.276,133.0938,0.4902344
6.283,133.75,0.4904785
6.289,134.3125,0.4907227
6.296,134.625,0.4904785
6.302,134.6875,0.4902344
6.309,134.6875,0.4904785
6.315,134.2969,0.4912109
6.321,133.5625,0.4914551
6.328,133.0938,0.4912109
6.334,132.8281,0.4907227
6.344,132.6406,0.4904785
6.35,132.2344,0.4907227
6.357,131.5,0.4909668
6.363,130.6406,0.4912109
6.37,130.6406,0.4909668
6.376,131.6406,0.4904785
6.383,132.9531,0.4904785
6.389,134.1563,0.4909668
6.396,134.3125,0.4919434
6.402,133.8125,0.4924316
6.408,133.2969,0.4919434
6.415,132.6406,0.4912109
6.421,131.8125,0.4904785
6.428,131.2969,0.4907227
6.434,131.4531,0.4919434
6.441,132.1094,0.4926758
6.447,132.7031,0.4926758
6.454,133.5,0.4919434
6.46,134.4062,0.4912109
6.466,134.6563,0.4907227
6.473,133.8125,0.4907227
6.479,132.7344,0.4909668
6.486,132.125,0.4912109
6.492,132.2969,0.4912109
6.498,132.8125,0.4907227
6.505,133.2812,0.4899902
6.511,133.1875,0.4897461
6.518,132.9219,0.4899902
