second,xyz[4],xyz[1]
0.006,131.7187,0.4890137
0.013,131.7812,0.4892578
0.02,132.2656,0.4897461
0.026,132.2031,0.4904785
0.033,132.1406,0.4909668
0.039,132.5938,0.4914551
0.046,133.1719,0.4912109
0.052,133.3437,0.4907227
0.05900001,133.2969,0.4899902
0.065,133.4062,0.4897461
0.071,133.5938,0.4897461
0.078,133.7656,0.4904785
0.084,133.9219,0.4909668
0.09099999,133.9844,0.4907227
0.09700001,133.9531,0.4902344
0.104,133.9844,0.489502
0.11,133.6406,0.4897461
0.117,132.5625,0.4904785
0.123,131.6719,0.4904785
0.13,131.4844,0.4902344
0.136,132.4219,0.4902344
0.188,133.0156,0.4875488
0.195,133.1406,0.487793
0.202,133.5469,0.4885254
0.208,133.9375,0.4892578
0.215,134.3281,0.4902344
0.221,134.875,0.4907227
0.227,134.7188,0.4909668
0.234,133.7344,0.4902344
0.24,132.6875,0.489502
0.247,131.7656,0.4892578
0.253,131.8906,0.489502
0.26,132.9375,0.4897461
0.266,134.0156,0.489502
0.272,135.0,0.489502
0.279,135.4219,0.4899902
0.285,134.8906,0.4909668
0.292,133.6406,0.4914551
0.298,132.6875,0.4916992
0.305,133.2031,0.4912109
0.311,134.0937,0.4907227
0.321,134.3437,0.4902344
0.327,134.1875,0.4904785
0.334,133.9687,0.4907227
0.34,133.6094,0.4907227
0.347,133.4375,0.4904785
0.353,133.3125,0.4904785
0.36,133.2187,0.4902344
0.367,133.1406,0.4899902
0.374,133.1875,0.489502
0.38,133.0938,0.4890137
0.386,132.6406,0.4885254
0.393,128.0937,0.4885254
0.399,131.5156,0.4887695
0.406,131.1719,0.489502
0.412,132.0469,0.4897461
0.428,134.8594,0.4882813
0.435,135.0469,0.4885254
0.441,134.6719,0.4890137
0.448,134.0,0.4892578
0.454,133.3906,0.4892578
0.461,132.8594,0.4892578
0.467,132.5469,0.4892578
0.473,132.4687,0.4892578
0.48,132.4531,0.489502
0.486,132.4375,0.4897461
0.493,132.8906,0.4899902
0.499,133.8906,0.4899902
0.506,134.5469,0.4899902
0.512,134.5312,0.4899902
0.518,134.2656,0.4902344
0.525,133.8906,0.4899902
0.531,133.9375,0.4899902
0.538,134.5312,0.4899902
0.5440001,135.0156,0.4899902
0.551,134.9375,0.4902344
0.557,133.5938,0.4904785
0.564,132.4687,0.4907227
0.57,132.7812,0.4907227
0.577,134.1094,0.4902344
0.583,135.3906,0.489502
0.589,135.6094,0.4885254
0.596,134.5156,0.487793
0.605,132.4844,0.4875488
0.612,132.5,0.4880371
0.619,132.9844,0.4887695
0.625,132.7187,0.4892578
0.632,132.2031,0.4892578
0.638,132.2656,0.4887695
0.645,133.5625,0.4880371
0.651,134.9219,0.487793
0.657,135.0625,0.4882813
0.664,133.75,0.4887695
0.67,132.4687,0.4890137
0.677,132.3906,0.4887695
0.683,132.8281,0.4885254
0.69,133.0156,0.4885254
0.696,132.7031,0.4885254
0.703,132.4687,0.4890137
0.709,132.7344,0.4899902
0.715,133.3594,0.4904785
0.722,133.4219,0.4907227
0.728,133.1094,0.4902344
0.735,132.7187,0.4897461
0.741,132.4531,0.489502
0.748,132.25,0.4897461
0.754,132.4531,0.4902344
0.761,133.1719,0.4904785
0.767,134.1563,0.4904785
0.774,134.2656,0.4902344
0.78,133.4375,0.4897461
0.786,132.6094,0.489502
0.793,131.9687,0.4897461
0.799,132.3906,0.4897461
0.8059999,133.3594,0.4890137
0.812,134.0312,0.4882813
0.8190001,134.7031,0.487793
0.825,135.1406,0.4875488
0.832,135.1406,0.4873047
0.838,134.9687,0.4865723
0.844,134.4531,0.486084
0.851,133.1719,0.4863281
0.857,131.3281,0.4865723
0.864,130.2812,0.4870605
0.873,130.8594,0.4873047
0.88,132.6875,0.4868164
0.887,133.8437,0.4868164
0.893,133.8281,0.4880371
0.9,133.6094,0.489502
0.906,133.7969,0.4912109
0.912,133.8437,0.4924316
0.9190001,133.8125,0.4936523
0.925,133.375,0.494873
0.932,132.4375,0.4960938
0.938,131.7812,0.4963379
0.945,135.9687,0.4958496
0.951,133.0,0.4946289
0.959,134.5156,0.4934082
0.966,135.2188,0.4921875
0.972,134.6719,0.4914551
0.979,133.0312,0.4904785
0.985,131.6094,0.4899902
0.992,131.1094,0.4899902
0.998,131.6094,0.4904785
1.005,133.1406,0.4912109
1.011,134.4375,0.4914551
1.027,134.5156,0.4907227
1.033,133.5938,0.4902344
1.04,133.3281,0.4887695
1.046,133.9062,0.4873047
1.053,134.0625,0.4858398
1.059,133.7969,0.484375
1.066,133.3594,0.4833984
1.072,133.0938,0.4824219
1.078,132.5312,0.4821777
1.085,132.0313,0.4831543
1.091,132.2187,0.4841309
1.098,132.8906,0.486084
1.104,133.1875,0.487793
1.111,133.3594,0.4897461
1.117,133.3437,0.4909668
1.123,133.2812,0.4921875
1.13,133.3437,0.4938965
1.136,133.5938,0.4953613
1.143,133.6563,0.4968262
1.197,134.4375,0.4926758
1.204,134.3906,0.4914551
1.21,134.5,0.4899902
1.216,134.8125,0.4887695
1.223,134.8281,0.4880371
1.229,134.2188,0.4875488
1.236,133.75,0.4863281
1.242,134.2812,0.4848633
1.249,134.8125,0.4838867
1.255,134.5937,0.4836426
1.261,133.4844,0.4841309
1.268,132.625,0.4858398
1.274,132.6875,0.487793
1.281,133.6406,0.4887695
1.287,134.7656,0.4882813
1.294,135.2969,0.4880371
1.3,135.4844,0.4885254
1.307,135.0625,0.4882813
1.313,133.7031,0.4865723
1.319,132.3906,0.4848633
1.326,131.8437,0.4853516
1.332,132.5938,0.4875488
1.339,133.9375,0.489502
1.345,134.5781,0.4919434
1.352,134.5469,0.4943848
1.358,134.0625,0.4978027
1.364,133.6406,0.4997559
1.371,133.2187,0.5009766
1.377,132.4844,0.5014648
1.384,131.8594,0.5
1.39,131.9844,0.496582
1.397,132.2812,0.4929199
1.403,132.4062,0.4912109
1.409,132.0625,0.4909668
1.416,131.7812,0.4909668
1.422,132.3281,0.4904785
1.429,133.8125,0.4904785
1.435,134.6563,0.4904785
1.442,134.4531,0.4897461
1.448,133.7812,0.4887695
1.454,133.6094,0.4870605
1.461,133.75,0.4853516
1.47,133.75,0.4833984
1.477,133.7812,0.4821777
1.484,133.4375,0.4807129
1.49,133.0625,0.4799805
1.497,133.3125,0.4802246
1.503,133.4844,0.480957
1.509,132.7187,0.4814453
1.516,131.8594,0.4814453
1.522,131.9844,0.4819336
1.529,133.1094,0.4829102
1.535,134.1563,0.4851074
1.542,134.5469,0.4887695
1.548,134.6719,0.4924316
1.554,134.6719,0.4943848
1.561,134.3906,0.494873
1.567,133.9375,0.4934082
1.574,133.5156,0.4914551
1.58,133.5312,0.4904785
1.587,134.0781,0.4904785
1.593,134.6406,0.4916992
1.6,135.1875,0.4924316
1.607,135.375,0.4929199
1.613,135.25,0.4938965
1.62,134.9844,0.4951172
1.626,134.6719,0.496582
1.632,134.5625,0.4973145
1.639,135.125,0.4975586
1.645,135.8125,0.4975586
1.661,135.3281,0.4973145
1.668,131.9062,0.4960938
1.674,132.7031,0.4958496
1.681,133.5625,0.4951172
1.687,133.8594,0.4941406
1.693,133.7656,0.4921875
1.7,133.5312,0.4892578
1.706,133.6094,0.4853516
1.713,133.8281,0.4824219
1.719,133.6406,0.4804688
1.726,133.3906,0.4802246
1.732,133.3281,0.4807129
1.738,132.5156,0.4812012
1.745,131.0313,0.4819336
1.754,129.7812,0.482666
1.761,129.7031,0.4829102
1.768,130.0937,0.4833984
1.774,131.0156,0.4846191
1.781,132.0938,0.4863281
1.787,133.7656,0.4882813
1.793,135.3594,0.489502
1.8,135.9687,0.4907227
1.806,135.3906,0.4921875
1.813,134.0937,0.4929199
1.819,133.0781,0.4936523
1.825,132.7812,0.4941406
1.832,132.9375,0.4946289
1.838,133.1094,0.494873
1.845,133.0938,0.4953613
1.851,133.3281,0.4963379
1.858,133.7656,0.4973145
1.864,134.0469,0.4980469
1.871,133.6875,0.4980469
1.877,133.5156,0.4970703
1.883,133.5938,0.4951172
1.89,133.4844,0.4929199
1.896,133.125,0.4907227
1.903,132.9375,0.4890137
1.909,132.4062,0.4882813
1.916,131.4687,0.4875488
1.922,130.8437,0.4868164
1.928,131.0156,0.4851074
1.935,131.8906,0.4833984
1.941,132.7656,0.4814453
1.948,133.0781,0.4804688
1.954,133.3437,0.4804688
1.96,133.9375,0.4814453
1.967,134.375,0.4829102
1.973,134.2812,0.484375
1.98,133.875,0.4855957
1.986,133.2344,0.4865723
1.993,132.2344,0.4870605
1.999,131.7812,0.4880371
2.005,132.125,0.4892578
2.012,132.9531,0.4904785
2.021,134.3906,0.4914551
2.028,134.8281,0.4914551
2.035,134.7344,0.4912109
2.041,134.9219,0.4912109
2.048,134.8906,0.4916992
2.054,134.4219,0.4931641
2.06,133.9062,0.494873
2.067,133.0469,0.4970703
2.073,132.1719,0.4980469
2.08,131.7187,0.4975586
2.086,132.1406,0.496582
2.093,132.5312,0.4956055
2.099,132.9219,0.4941406
2.105,133.3437,0.4926758
2.112,133.0625,0.4907227
2.118,132.2656,0.4892578
2.125,131.75,0.4882813
2.131,132.1094,0.4880371
2.138,133.3437,0.487793
2.144,134.4531,0.4875488
2.15,134.7656,0.4865723
2.157,134.6406,0.4846191
2.163,134.5469,0.4824219
2.17,134.5156,0.480957
2.176,134.25,0.4807129
2.183,133.3906,0.4812012
2.189,131.9062,0.4829102
2.196,130.9531,0.4846191
2.202,130.6562,0.4863281
2.209,130.4375,0.4875488
2.215,130.6406,0.4885254
2.222,131.6875,0.4892578
2.228,133.125,0.4904785
